condition,ticks,alive,mean_energy,content_count,copy_count,holder_count,outcome_records,outcome_updates,private_created,private_updates,transfer_attempts,transfer_committed,transfer_corrupted,transferred_verified,learning_energy,maintenance_energy,sender_energy,receiver_energy,total_knowledge_energy
k1_compat,50,1394,1.9042307138442993,45,692,557,0,0,0,0,616,465,29,0,0.0,2.110655999999989,1.8233599999999999,0.22319999999999998,4.157215999999989
k2_private,50,1397,1.8824056386947632,5590,5477,1390,57381,27677,5590,22087,0,0,0,0,5.535400000000055,20.889023999999836,0.0,0.0,26.424423999999892
k2_exchange,50,1395,1.8780077695846558,5301,5470,1388,57373,25034,5206,18484,1716,1440,79,473,5.006800000000038,21.02371199999983,5.079360000000001,0.6911999999999999,31.801071999999866
